ID,Marque,Nom
92230008,Leclerc,CENTRE E.LECLERC GENNEVILLIERS
34150003,Intermarché,INTERMARCHE GIGNAC
7290000,Indépendant sans enseigne,STATION 3C
74250003,Avia,EURL BAILLEUL Pierre
69700002,Elan,MR GERY J.C.
66170002,,
69550003,Intermarché,INTERMARCHE AMPLEPUIS
51240002,BP,INTERMARCHE CONTACT
38500006,Système U,U DRIVE VOIRON
43000004,Esso Express,ESSO VAL VERT
59640002,Total Access,RELAIS DU PONT LOBY
62138005,,
34620002,Dyneff,Sarl yvars bernard station dyneff
67120002,Total,SA GARAGE WIETRICH
36140003,Total,SAS Tisseron
30300008,Esso,Le Mistral
80500001,Simply Market,SIMPLY MARKET
64130004,Total,SARL Soule Automobiles
95800003,,
40465002,Intermarché,INTERMARCHE PONTONX SUR ADOUR
57320002,Intermarché,INTERMARCHE BOUZONVILLE
44270001,Système U,Super U MACHECOUL
1390011,,
31620013,,
24100019,,
82440003,Total,SARL STROH
67800011,Total,RELAIS DE HOENHEIM
36100003,Elan,FOUGERE AUTO
46000014,,
17580002,,
77165006,Total,RELAIS DU SAUVOY
83340010,Total Access,RELAIS LE LUC LES LIEBAUDS
50370002,Système U,SUPER U
59265001,Carrefour Market,Carrefour Market
73024001,Indépendant sans enseigne,S A T M
83440004,Leclerc,MONTAUDIS
91660001,Intermarché,INTERMARCHE MEREVILLE
75015025,,
61430002,Carrefour Contact,CARREFOUR CONTACT
73700005,Intermarché,INTERMARCHE BOURG ST MAURICE
57220005,Intermarché,INTERMARCHE
80110001,Total,STATION SERVICE TOTAL
56760003,Carrefour Market,Carrefour Market   SARL Pénestin distribution
74300009,Système U,SUPER U
93100011,BP,BP MONTREUIL ARISTIDE BRIAND 8 à Huit
34220002,GALLIEN,GALLIEN  Saint Pons
62230001,Carrefour Market,SARL NATHYS
51480001,Elan,CENTRAL GARAGE
79300007,,
85403001,Leclerc,S.A.S.LUDIS
19290002,,
35130001,Système U,Super U LA GUERCHE DE BRETAGNE
91240003,BP,BP ST MICHEL SUR ORGE
69340003,Shell,SHELL ROUSSILLON
26100001,Système U,SUPER U
52000009,Total Access,RELAIS BUXEREUILLES
72800003,,
13780007,,
21120004,Avia,RELAIS LE VILLAGE
62147001,Avia,AVIA HAVRINCOURT
35470001,Leclerc,Z_SAS DACAR
68000012,Leclerc,SOCODIS SA
76290003,,
13310001,Système U,SUPER U
37800006,Total,RELAIS STE MAURE
43200008,,
57210001,Total,MME BOHNENBERGER
31290004,Total,EURL SEGA MARTINEZ
68040001,Total,EURL KF AUTO+
91170007,,
87190001,Intermarché Contact,INTERMARCHE MAGNAC LAVAL
51067001,Carrefour,CARREFOUR CERNAY
38240006,,
35800002,Avia,BRETECHE STATION SERVICES
76850001,Carrefour Market,Carrefour Market
91380012,,
78920004,,
8320003,FIOUL SERVICE,FIOUL SERVICE
33600009,Total,RELAIS HAUT LEVEQUE
62130003,Intermarché,INTERMARCHE ST POL SUR TERNOISE
5700002,Indépendant sans enseigne,Station-service Les Chambons
29860003,Intermarché,INTERMARCHE PLABENNEC
69490001,Leclerc,SAINT LOUP DISTRIBUTION
25490001,Intermarché,INTERMARCHE - SAS JILAV
14640001,Elan,GARAGE LION
45120002,Système U,Super U CHALETTE SUR LOING
82270002,Total,RELAIS BOIS DE DOURRE
78990010,Total Access,RELAIS ELANCOURT
24150003,,
19400005,,
46500006,,
35510006,,
20166006,Total,Station TOTAL Les Marines
42470006,,
13160001,Indépendant sans enseigne,GAROUCHA
59179001,Carrefour Contact,Carrefour Contact
74600001,Géant,GEANT CASINO
13240002,,
77510001,Carrefour Market,Carrefour Market
33930002,Carrefour Contact,CARREFOUR CONTACT SAS JOSDIS
66420002,Dyneff,SARL MONTANER ET FILS
